Date,Residential Property,Real Residential Property,Detached House,Condominiums,STOCK,EMPLOYMENT,EMPLOYMENT1,PRICE,GDP,INTEREST,INTEREST1
2008/1/1,-0.007373,-0.017201,-0.02340973,0.010372559,-0.101373958,-0.003838179,-0.01183432,-0.001023751,0.00359883,0.0075,0
2008/4/1,-0.012467,-0.025839,-0.008232758,-0.044012664,-0.189472958,0.001869062,0.017964072,0.00856711,-0.005688297,0.0075,0
2008/7/1,-0.01756,-0.037986,-0.016671684,-0.008367426,0.074876645,-0.004158226,-0.005882353,0.00940018,-0.012436781,0.0075,0
2008/10/1,-0.025475,-0.035345,-0.025732193,-0.024618475,-0.170450017,-0.000104178,0,-0.006763262,-0.025149976,0.005,-0.405465108
2009/1/1,-0.042,-0.04069,-0.030948363,-0.04486172,-0.237126086,-0.005275128,-0.014370245,-0.012536474,-0.049372762,0.003,-0.510825624
2009/4/1,-0.050314,-0.040898,-0.037770742,0.002328536,-0.095388038,-0.008889415,0.005860492,0,0.019513816,0.003,0
2009/7/1,-0.030036,-0.008082,0.016290322,0.007163203,0.19058699,-0.001586295,-0.002273696,-0.003081667,-0.000406918,0.003,0
2009/10/1,-0.028462,-0.008033,-0.016187678,0.009298505,0.018435549,-0.001800848,-0.000712149,-0.005157309,0.012136071,0.003,0
2010/1/1,0.004032,0.012688,0.018406987,0.018647839,0.051844121,0.002224106,-0.005843786,-0.000310286,0.010400094,0.003,0
2010/4/1,0.021153,0.028892,-0.002724385,0.017103083,0.052334321,-0.002860474,0.009032258,0.001033912,0.012063827,0.003,0
2010/7/1,0.012441,0.022611,0.007348903,0.003105748,-0.184345251,0.003917836,0.002273373,-0.00559587,0.01811679,0.003,0
2010/10/1,0.020014,0.022834,-0.002711798,0.021865823,0.015370139,-0.001321877,-0.000850581,0.002076197,-0.008335805,0.003,0
2011/1/1,0.008367,0.01361,0.002511176,-0.021665783,0.092117831,0.001850139,-0.002270148,-0.002699898,-0.010764367,0.003,0
2011/4/1,0.002005,0.005816,-0.006542221,0.026839302,-0.059194762,-0.004286968,0.015500569,0.002388743,-0.008497235,0.003,0
2011/7/1,0.002325,0.000938,0.021873531,-0.005956758,0.012426316,-0.000212179,-0.007141857,-0.000311252,0.024116452,0.003,0
2011/10/1,-0.009977,-0.006887,-0.017943065,0.015742235,-0.142376959,0.001590247,-0.003102962,-0.002493508,-0.001550989,0.003,0
2012/1/1,-0.004978,-0.008073,-0.002719446,-0.009006889,-0.00210305,-0.002598713,-0.011177136,0.003530637,0.013873055,0.003,0
2012/4/1,-0.011004,-0.01237,-0.020274751,0.002235072,0.17272399,-0.000584314,0.013163543,0.000621762,-0.009227286,0.003,0
2012/7/1,-0.014579,-0.010472,0.005542455,0.001842603,-0.109941396,0.001380556,-0.000141223,-0.005818198,-0.003676119,0.003,0
2012/10/1,-0.004367,-0.001944,-0.00225433,-0.008953831,-0.032259062,0.000477441,0.00240113,-0.000729661,-0.000775645,0.003,0
2013/1/1,-0.00467,0.001908,0.0071553,0.001758156,0.184870772,0.002965633,-0.001268141,-0.000730194,0.01367905,0.003,0
2013/4/1,0.017195,0.020013,0.001221499,0.030750958,0.154029436,0.002271228,0.013826185,0.004580955,0.008953293,0.003,0
2013/7/1,0.024882,0.016059,0.01414165,0.019678296,0.105465595,0.00105463,0.000974116,0.00549025,0.00962544,0.003,0
2013/10/1,0.028003,0.013211,-0.009270522,0.008592468,0.05456864,0.0054138,0.006117058,0.005151995,-0.001127608,0.003,0
2014/1/1,0.030831,0.015293,0.008969574,0.016423727,0.106406944,-0.001206368,-0.005112616,0,0.008239747,0.003,0
2014/4/1,0.014915,-0.020362,0.002304957,0.006224929,-0.082383195,0.003091679,0.0125,0.024667545,-0.018635833,0.003,0
2014/7/1,0.010827,-0.022172,-0.003308771,0.021443057,0.020565764,0.000836776,0.000685871,0.003403407,0.000949578,0.003,0
2014/10/1,0.005907,-0.018963,-0.006246242,0.010420866,0.063364413,0.001514875,0.003289925,-0.003002404,0.00492332,0.003,0
2015/1/1,0.023732,0.000427,0.013451317,0.028257989,0.090334442,0.000939114,-0.006558273,-0.002006623,0.015370499,0.003,0
2015/4/1,0.025147,0.019694,-0.00479761,0.02492393,0.077580156,-0.0000521,0.009077156,0.007005633,0.000929627,0.003,0
2015/7/1,0.028562,0.027193,-0.000601323,0.001568239,0.058919655,0.002083877,0.003407387,-0.000698359,0.000928764,0.003,0
2015/10/1,0.019576,0.017536,-0.02137981,0.008131796,-0.149120068,0.002183407,0.003395816,-0.002298048,-0.000742942,0.003,0
