YEAR,Area Code,AREA,/ITEMS,A1101_Total population (Both sexes)[person],Employed
2015,JP02,Aomori-ken,,"1,308,265","625,970"
2015,JP03,Iwate-ken,,"1,279,594","636,329"
2015,JP04,Miyagi-ken,,"2,333,899","1,077,927"
2015,JP05,Akita-ken,,"1,023,119","482,867"
2015,JP06,Yamagata-ken,,"1,123,891","562,087"
2015,JP07,Fukushima-ken,,"1,914,039","922,133"
2015,JP08,Ibaraki-ken,,"2,916,976","1,400,684"
2015,JP09,Tochigi-ken,,"1,974,255","963,969"
2015,JP10,Gumma-ken,,"1,973,115","966,060"
2015,JP11,Saitama-ken,,"7,266,534","3,484,648"
2015,JP12,Chiba-ken,,"6,222,666","2,879,944"
2015,JP13,Tokyo-to,,"13,515,271","5,858,959"
2015,JP14,Kanagawa-ken,,"9,126,214","4,121,817"
2015,JP15,Niigata-ken,,"2,304,264","1,140,840"
2015,JP16,Toyama-ken,,"1,066,328","538,839"
2015,JP17,Ishikawa-ken,,"1,154,008","572,661"
2015,JP18,Fukui-ken,,"786,740","399,169"
2015,JP19,Yamanashi-ken,,"834,930","408,814"
2015,JP20,Nagano-ken,,"2,098,804","1,069,860"
2015,JP21,Gifu-ken,,"2,031,903","1,015,916"
2015,JP22,Shizuoka-ken,,"3,700,305","1,865,154"
2015,JP23,Aichi-ken,,"7,483,128","3,668,611"
2015,JP24,Mie-ken,,"1,815,865","872,773"
2015,JP25,Shiga-ken,,"1,412,916","677,976"
2015,JP26,Kyoto-fu,,"2,610,353","1,192,645"
2015,JP27,Osaka-fu,,"8,839,469","3,777,655"
2015,JP28,Hyogo-ken,,"5,534,800","2,443,786"
2015,JP29,Nara-ken,,"1,364,316","590,818"
2015,JP30,Wakayama-ken,,"963,579","445,326"
2015,JP31,Tottori-ken,,"573,441","280,925"
2015,JP32,Shimane-ken,,"694,352","342,994"
2015,JP33,Okayama-ken,,"1,921,525","900,871"
2015,JP34,Hiroshima-ken,,"2,843,990","1,336,568"
2015,JP35,Yamaguchi-ken,,"1,404,729","645,035"
2015,JP36,Tokushima-ken,,"755,733","342,906"
2015,JP37,Kagawa-ken,,"976,263","452,644"
2015,JP38,Ehime-ken,,"1,385,262","642,741"
2015,JP39,Kochi-ken,,"728,276","323,408"
2015,JP40,Fukuoka-ken,,"5,101,556","2,254,095"
2015,JP41,Saga-ken,,"832,832","410,237"
2015,JP42,Nagasaki-ken,,"1,377,187","644,154"
2015,JP43,Kumamoto-ken,,"1,786,170","834,257"
2015,JP44,Oita-ken,,"1,166,338","546,167"
2015,JP45,Miyazaki-ken,,"1,104,069","519,210"
2015,JP46,Kagoshima-ken,,"1,648,177","753,855"
