"Title :","System of Social and Demographic Statistics of Japan"
"Open date :","Jun.21, 2021"

"***","Not surveyed or aggregated"
"-","Not available"
"X","Figures kept undisclosed"

"","","","","/ITEMS Code","A1101","","F1101","","F1102",""
"YEAR Code","YEAR","AREA Code","AREA","/ITEMS","A1101_Total population (Both sexes)[person]","Annotation","F1101_(Population census) Population in labour force[person]","Annotation","F1102_(Population census) Number of employed persons[person]","Annotation"
"2015100000","2015","01100","Hokkaido Sapporo-shi","","1,952,356","","892,932","","844,313",""
"2015100000","2015","01101","Hokkaido Sapporo-shi Chuo-ku","","237,627","","108,064","","102,279",""
"2015100000","2015","01102","Hokkaido Sapporo-shi Kita-ku","","285,321","","129,316","","122,701",""
"2015100000","2015","01103","Hokkaido Sapporo-shi Higashi-ku","","261,912","","121,080","","114,463",""
"2015100000","2015","01104","Hokkaido Sapporo-shi Shiroishi-ku","","209,584","","99,569","","93,850",""
"2015100000","2015","01105","Hokkaido Sapporo-shi Toyohira-ku","","218,652","","101,892","","96,299",""
"2015100000","2015","01106","Hokkaido Sapporo-shi Minami-ku","","141,190","","62,332","","59,135",""
"2015100000","2015","01107","Hokkaido Sapporo-shi Nishi-ku","","213,578","","97,581","","91,945",""
"2015100000","2015","01108","Hokkaido Sapporo-shi Atsubetsu-ku","","127,767","","58,573","","55,077",""
"2015100000","2015","01109","Hokkaido Sapporo-shi Teine-ku","","140,999","","62,443","","58,860",""
"2015100000","2015","01110","Hokkaido Sapporo-shi Kiyota-ku","","115,726","","52,082","","49,704",""
"2015100000","2015","01202","Hokkaido Hakodate-shi","","265,979","","123,676","","117,125",""
"2015100000","2015","01203","Hokkaido Otaru-shi","","121,924","","54,397","","51,317",""
"2015100000","2015","01204","Hokkaido Asahikawa-shi","","339,605","","160,082","","152,385",""
"2015100000","2015","01205","Hokkaido Muroran-shi","","88,564","","39,243","","37,286",""
"2015100000","2015","01206","Hokkaido Kushiro-shi","","174,742","","78,388","","74,840",""
"2015100000","2015","01207","Hokkaido Obihiro-shi","","169,327","","82,977","","79,840",""
"2015100000","2015","01208","Hokkaido Kitami-shi","","121,226","","58,274","","55,971",""
"2015100000","2015","01209","Hokkaido Yubari-shi","","8,843","","3,938","","3,721",""
"2015100000","2015","01210","Hokkaido Iwamizawa-shi","","84,499","","39,807","","37,845",""
"2015100000","2015","01211","Hokkaido Abashiri-shi","","39,077","","18,606","","17,955",""
"2015100000","2015","01212","Hokkaido Rumoi-shi","","22,221","","11,347","","10,813",""
"2015100000","2015","01213","Hokkaido Tomakomai-shi","","172,737","","80,217","","76,793",""
"2015100000","2015","01214","Hokkaido Wakkanai-shi","","36,380","","17,815","","16,928",""
"2015100000","2015","01215","Hokkaido Bibai-shi","","23,035","","10,562","","10,047",""
"2015100000","2015","01216","Hokkaido Ashibetsu-shi","","14,676","","6,480","","6,152",""
"2015100000","2015","01217","Hokkaido Ebetsu-shi","","120,636","","55,757","","53,086",""
"2015100000","2015","01218","Hokkaido Akabira-shi","","11,105","","4,742","","4,474",""
"2015100000","2015","01219","Hokkaido Mombetsu-shi","","23,109","","11,668","","11,270",""
"2015100000","2015","01220","Hokkaido Shibetsu-shi","","19,914","","9,820","","9,507",""
"2015100000","2015","01221","Hokkaido Nayoro-shi","","29,048","","14,828","","14,377",""
"2015100000","2015","01222","Hokkaido Mikasa-shi","","9,076","","3,647","","3,400",""
"2015100000","2015","01223","Hokkaido Nemuro-shi","","26,917","","14,418","","13,876",""
"2015100000","2015","01224","Hokkaido Chitose-shi","","95,648","","47,948","","46,015",""
"2015100000","2015","01225","Hokkaido Takikawa-shi","","41,192","","19,610","","18,850",""
"2015100000","2015","01226","Hokkaido Sunagawa-shi","","17,694","","8,064","","7,740",""
"2015100000","2015","01227","Hokkaido Utashinai-shi","","3,585","","1,421","","1,306",""
"2015100000","2015","01228","Hokkaido Fukagawa-shi","","21,909","","10,300","","10,006",""
"2015100000","2015","01229","Hokkaido Furano-shi","","22,936","","12,277","","11,843",""
"2015100000","2015","01230","Hokkaido Noboribetsu-shi","","49,625","","22,277","","21,048",""
"2015100000","2015","01231","Hokkaido Eniwa-shi","","69,702","","33,235","","31,646",""
"2015100000","2015","01233","Hokkaido Date-shi","","34,995","","16,890","","16,124",""
"2015100000","2015","01234","Hokkaido Kitahiroshima-shi","","59,064","","27,459","","26,266",""
"2015100000","2015","01235","Hokkaido Ishikari-shi","","57,436","","27,382","","26,136",""
"2015100000","2015","01236","Hokkaido Hokuto-shi","","46,390","","22,887","","21,715",""
"2015100000","2015","01303","Hokkaido Tobetsu-cho","","17,278","","8,613","","8,131",""
"2015100000","2015","01304","Hokkaido Shinshinotsu-mura","","3,329","","1,591","","1,569",""
"2015100000","2015","01331","Hokkaido Matsumae-cho","","7,337","","3,381","","3,251",""
"2015100000","2015","01332","Hokkaido Fukushima-cho","","4,422","","2,042","","1,886",""
"2015100000","2015","01333","Hokkaido Shiriuchi-cho","","4,653","","2,539","","2,441",""
"2015100000","2015","01334","Hokkaido Kikonai-cho","","4,547","","2,173","","2,057",""
"2015100000","2015","01337","Hokkaido Nanae-cho","","28,120","","13,200","","12,436",""
"2015100000","2015","01343","Hokkaido Shikabe-cho","","4,226","","2,108","","2,015",""
"2015100000","2015","01345","Hokkaido Mori-machi","","15,946","","8,231","","7,841",""
"2015100000","2015","01346","Hokkaido Yakumo-cho","","17,252","","8,898","","8,571",""
"2015100000","2015","01347","Hokkaido Oshamambe-cho","","5,926","","2,701","","2,605",""
"2015100000","2015","01361","Hokkaido Esashi-cho","","8,248","","4,046","","3,852",""
"2015100000","2015","01362","Hokkaido Kaminokuni-cho","","4,876","","2,247","","2,154",""
"2015100000","2015","01363","Hokkaido Assabu-cho","","4,049","","2,134","","2,055",""
